Municipio;Orgao;Item de Despesa;Valor Investido
AGUA BOA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;380.671,31
AGUA BOA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;6.798,12
AGUA COMPRIDA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;170.565,90
AGUA COMPRIDA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;56.585,59
AGUA COMPRIDA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
AGUA COMPRIDA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
AGUA COMPRIDA;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;43.420,00
AGUANIL;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;124.488,80
AGUANIL;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;438.690,20
AGUANIL;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;63.696,98
AGUANIL;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
AGUAS FORMOSAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;270.116,90
AGUAS FORMOSAS;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS DE INFORMATICA;6.600,00
AGUAS FORMOSAS;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;11.532,00
AGUAS FORMOSAS;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;9.266,50
AGUAS FORMOSAS;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
AGUAS FORMOSAS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
AGUAS FORMOSAS;SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL;CONTRIBUICOES;60.000,00
AGUAS FORMOSAS;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;30.000,00
AGUAS VERMELHAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;59.511,26
AGUAS VERMELHAS;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;595
AGUAS VERMELHAS;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;269.993,96
AGUAS VERMELHAS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;4.855,80
AIMORES;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;108.000,00
AIMORES;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;1.630.931,53
AIMORES;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;7.769,28
AIURUOCA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;53.458,25
AIURUOCA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
AIURUOCA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
AIURUOCA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ALAGOA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;124.330,50
ALAGOA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ALAGOA;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;36.001,00
ALBERTINA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;38.255,49
ALBERTINA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
ALEM PARAIBA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;104.492,66
ALEM PARAIBA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;35.973,18
ALEM PARAIBA;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;EQUIPAMENTOS DE INFORMATICA;1.956,00
ALEM PARAIBA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
ALEM PARAIBA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
ALEM PARAIBA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;108.000,00
ALEM PARAIBA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;3.884,64
ALFENAS;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;52.246,33
ALFENAS;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;5.516,00
ALFENAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;560.602,32
ALFENAS;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;AUXILIOS;268.382,52
ALFENAS;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;136.583,64
ALFENAS;FUNDO ESTADUAL DE SAUDE;AUXILIOS;30.000,00
ALFENAS;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS DE INFORMATICA;3.347,80
ALFENAS;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;10.600,00
ALFENAS;FUNDO ESTADUAL DE SAUDE;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;3.754,00
ALFENAS;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;123.000,00
ALFENAS;SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE;EXECUCAO DE OBRAS POR CONTRATO DE BENS PATRIMONIAVEIS;785.767,47
ALFENAS;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;238.966,23
ALFENAS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;10.682,76
ALFREDO VASCONCELOS;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;273.872,71
ALFREDO VASCONCELOS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ALMENARA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;104.492,66
ALMENARA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;777.951,84
ALMENARA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;48.987,68
ALMENARA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;3.049,47
ALMENARA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
ALMENARA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ALMENARA;SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;3.091,20
ALMENARA;SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;37.368,25
ALMENARA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS DE INFORMATICA;339.468,45
ALMENARA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;4.855,80
ALMENARA;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;75.087,00
ALPERCATA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;26.453,92
ALPERCATA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;0
ALPERCATA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ALPINOPOLIS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;305.009,38
ALPINOPOLIS;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;422.106,40
ALPINOPOLIS;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;55.554,13
ALPINOPOLIS;FUNDO ESTADUAL DE SAUDE;AUXILIOS;125.000,00
ALPINOPOLIS;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS DE INFORMATICA;13.200,00
ALPINOPOLIS;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;23.064,00
ALPINOPOLIS;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;18.533,00
ALPINOPOLIS;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
ALPINOPOLIS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
ALPINOPOLIS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
ALTEROSA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;138.528,44
ALTEROSA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;188.236,70
ALTO CAPARAO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;25.201,36
ALTO CAPARAO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;20.000,00
ALTO CAPARAO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ALTO JEQUITIBA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;260.599,44
ALTO JEQUITIBA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;20.000,00
ALTO JEQUITIBA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
ALTO RIO DOCE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;201.280,02
ALTO RIO DOCE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ALTO RIO DOCE;SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL;AUXILIOS;45.000,00
ALTO RIO DOCE;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;74.453,37
ALTO RIO DOCE;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
ALVARENGA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;93.219,35
ALVARENGA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ALVARENGA;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;124.175,00
ALVARENGA;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;100.000,00
ALVINOPOLIS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;144.594,70
ALVINOPOLIS;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;30.490,52
ALVINOPOLIS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;122.111,00
ALVORADA DE MINAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;352.973,97
ALVORADA DE MINAS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
AMPARO DA SERRA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;20.378,40
ANDRADAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;263.572,88
ANDRADAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;OUTRAS SENTENCAS JUDICIAIS;163.225,29
ANDRADAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;PRECATORIOS - OUTROS;1.612.668,80
ANDRADAS;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;18.260,79
ANDRADAS;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
ANDRADAS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
ANDRELANDIA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;110.979,85
ANDRELANDIA;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;11.532,00
ANDRELANDIA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;9.266,50
ANDRELANDIA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
ANGELANDIA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;19.435,05
ANGELANDIA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ANGELANDIA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;13.890,66
ANGELANDIA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
ANGELANDIA;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;100.000,00
ANTONIO CARLOS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;171.649,02
ANTONIO CARLOS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ANTONIO CARLOS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
ANTONIO CARLOS;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;52.023,00
ANTONIO DIAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;119.000,56
ANTONIO DIAS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ANTONIO DIAS;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;30.000,00
ANTONIO DIAS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;3.884,64
ANTONIO DIAS;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;100.000,00
ANTONIO PRADO DE MINAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;52.285,44
ANTONIO PRADO DE MINAS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
ANTONIO PRADO DE MINAS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ARACAI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;25.875,17
ARACITABA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;28.967,90
ARACITABA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
ARACUAI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;545.820,66
ARACUAI;FUNDO ESTADUAL DE SAUDE;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;1.877,00
ARACUAI;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;3.570,00
ARACUAI;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;3.049,47
ARACUAI;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
ARACUAI;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;417.094,70
ARACUAI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS DE INFORMATICA;65.109,40
ARACUAI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;11.653,92
ARAGUARI;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;ARMAMENTO E EQUIPAMENTO DE USO POLICIAL;13.750,00
ARAGUARI;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;52.246,33
ARAGUARI;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;1.732,46
ARAGUARI;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;5.516,00
ARAGUARI;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;51.000,00
ARAGUARI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;1.044.184,86
ARAGUARI;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;1.094.066,32
ARAGUARI;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;227.564,53
ARAGUARI;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE INFORMATICA;9.950,00
ARAGUARI;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;82.989,00
ARAGUARI;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;229.990,00
ARAGUARI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;12.625,08
ARAGUARI;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;45.423,00
ARANTINA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;183.063,32
ARAPONGA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;29.386,19
